Degree,MPa
0,121.0
1,123.96842105263158
2,126.93684210526315
3,129.90526315789475
4,132.8736842105263
5,135.8421052631579
6,138.81052631578947
7,141.77894736842106
8,144.74736842105264
9,147.7157894736842
10,150.68421052631578
11,153.65263157894736
12,156.62105263157895
13,159.58947368421053
14,162.55789473684212
15,165.5263157894737
16,168.49473684210525
17,171.46315789473684
18,174.43157894736842
19,177.4
20,180.36842105263156
21,183.33684210526314
22,186.30526315789473
23,189.2736842105263
24,192.2421052631579
25,195.21052631578948
26,198.17894736842106
27,201.14736842105265
28,204.1157894736842
29,207.0842105263158
30,210.05263157894737
31,213.02105263157893
32,215.9894736842105
33,218.9578947368421
34,221.92631578947368
35,224.89473684210526
36,227.86315789473684
37,230.83157894736843
38,233.8
39,236.7684210526316
40,239.73684210526315
41,242.70526315789473
42,245.67368421052632
43,248.64210526315787
44,251.61052631578946
45,254.57894736842104
46,257.5473684210526
47,260.5157894736842
48,263.4842105263158
49,266.4526315789474
50,269.42105263157896
51,272.38947368421054
52,275.3578947368421
53,278.3263157894737
54,281.2947368421053
55,284.2631578947369
56,287.2315789473684
57,290.2
58,293.1684210526316
59,296.13684210526316
60,299.10526315789474
61,302.0736842105263
62,305.04210526315785
63,308.01052631578943
64,310.978947368421
65,313.9473684210526
66,316.9157894736842
67,319.88421052631577
68,322.85263157894735
69,325.82105263157894
70,328.7894736842105
71,331.7578947368421
72,334.7263157894737
73,337.69473684210527
74,340.66315789473686
75,343.63157894736844
76,346.6
77,349.5684210526316
78,352.5368421052632
79,355.5052631578947
80,358.4736842105263
81,361.4421052631579
82,364.41052631578947
83,367.37894736842105
84,370.34736842105264
85,373.31578947368416
86,376.28421052631575
87,379.2526315789474
88,382.2210526315789
89,385.1894736842105
90,388.1578947368421
91,391.12631578947367
92,394.09473684210525
93,397.06315789473683
94,400.0315789473684
95,403.0
